Date,Vol
2010-05-17,876.0
2010-05-18,61.0
2010-05-19,35.0
2010-05-20,901.0
2010-05-21,1332.0
2010-05-22,115.0
2010-05-23,121.0
2010-05-24,0.0
2010-05-25,448.0
2010-05-26,152.0
2010-05-27,13.0
2010-05-28,364.0
2010-05-29,45.0
2010-05-30,85.0
2010-05-31,125.0
2010-06-01,165.0
2010-06-02,122.0
2010-06-03,225.0
2010-06-04,0.0
2010-06-05,42.0
2010-06-06,34.0
2010-06-07,29.0
2010-06-08,6.0
2010-06-09,18.0
2010-06-10,89.0
2010-06-11,35.0
2010-06-12,117.0
2010-06-13,39.0
2010-06-14,36.0
2010-06-15,164.0
2010-06-16,36.0
2010-06-17,129.0
2010-06-18,13.0
2010-06-19,91.0
2010-06-20,103.0
2010-06-21,44.0
2010-06-22,29.0
2010-06-23,12.0
2010-06-24,135.0
2010-06-25,188.0
2010-06-26,86.0
2010-06-27,68.0
2010-06-28,17.0
2010-06-29,148.0
2010-06-30,64.0
2010-07-01,103.0
2010-07-02,30.0
2010-07-03,56.0
2010-07-04,64.33333333333333
2010-07-05,72.66666666666666
2010-07-06,81.0
2010-07-07,56.0
2010-07-08,125.0
2010-07-09,139.0
2010-07-10,92.0
2010-07-11,18.0
2010-07-12,12.0
2010-07-13,13.0
2010-07-14,0.0
2010-07-15,158.0
2010-07-16,86.0
2010-07-17,98.0
2010-07-18,41.0
2010-07-19,150.0
2010-07-20,262.0
2010-07-21,198.0
2010-07-22,45.0
2010-07-23,360.0
2010-07-24,28.0
2010-07-25,0.0
2010-07-26,266.0
2010-07-27,36.0
2010-07-28,0.0
2010-07-29,0.0
2010-07-30,311.0
2010-07-31,140.0
2010-08-01,11.0
2010-08-02,64.0
2010-08-03,93.0
2010-08-04,38.0
2010-08-05,6.0
2010-08-06,9.0
2010-08-07,66.0
2010-08-08,78.0
2010-08-09,5.0
2010-08-10,96.0
2010-08-11,35.0
2010-08-12,52.0
2010-08-13,9.0
2010-08-14,8.0
2010-08-15,37.0
2010-08-16,7.0
2010-08-17,74.0
2010-08-18,23.0
2010-08-19,10.0
2010-08-20,47.0
2010-08-21,17.0
2010-08-22,5.0
2010-08-23,35.0
2010-08-24,79.0
2010-08-25,72.0
2010-08-26,21.0
2010-08-27,28.0
2010-08-28,75.0
2010-08-29,20.0
2010-08-30,0.0
2010-08-31,27.0
2010-09-01,114.0
2010-09-02,22.0
2010-09-03,2.0
2010-09-04,80.0
2010-09-05,53.0
2010-09-06,41.0
2010-09-07,31.0
2010-09-08,5.0
2010-09-09,61.0
2010-09-10,363.0
2010-09-11,2.0
2010-09-12,199.0
2010-09-13,102.0
2010-09-14,6.0
2010-09-15,4.0
2010-09-16,331.0
2010-09-17,7.0
2010-09-18,181.0
2010-09-19,9.0
2010-09-20,0.0
2010-09-21,22.0
2010-09-22,41.0
2010-09-23,40.0
2010-09-24,22.0
2010-09-25,48.0
2010-09-26,19.0
2010-09-27,28.0
2010-09-28,41.0
2010-09-29,72.0
2010-09-30,23.0
2010-10-01,83.0
2010-10-02,22.0
2010-10-03,47.0
2010-10-04,65.0
2010-10-05,72.0
2010-10-06,24.0
2010-10-07,25.0
2010-10-08,48.0
2010-10-09,32.0
